  
       XFOIL         Version 6.99
  
 Calculated polar for: af2                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.4032   0.00651   0.00271  -0.3363   0.8555   0.3855
   0.500   1.4526   0.00664   0.00281  -0.3346   0.8305   0.4425
   1.000   1.4985   0.00692   0.00299  -0.3320   0.7946   0.4894
   1.500   1.5324   0.00765   0.00343  -0.3268   0.7253   0.5290
   2.000   1.5294   0.00985   0.00475  -0.3136   0.5606   0.5570
   2.500   1.5258   0.01243   0.00642  -0.3009   0.3861   0.5855
   3.000   1.5481   0.01412   0.00761  -0.2940   0.2878   0.6183
   3.500   1.5792   0.01534   0.00858  -0.2889   0.2330   0.6538
   4.500   1.6489   0.01733   0.01039  -0.2805   0.1732   0.7284
   5.000   1.6773   0.01877   0.01156  -0.2753   0.1267   0.7718
   5.500   1.7084   0.02001   0.01271  -0.2706   0.0964   0.8472
   6.000   1.7349   0.02142   0.01397  -0.2652   0.0652   1.0000
   6.500   1.7605   0.02321   0.01554  -0.2597   0.0358   1.0000
   7.000   1.7797   0.02562   0.01783  -0.2530   0.0005   1.0000
   7.500   1.8116   0.02695   0.01924  -0.2488   0.0004   1.0000
   8.000   1.8421   0.02841   0.02079  -0.2444   0.0004   1.0000
   8.500   1.8707   0.03001   0.02251  -0.2398   0.0004   1.0000
   9.000   1.8974   0.03178   0.02442  -0.2350   0.0005   1.0000
   9.500   1.9208   0.03388   0.02667  -0.2297   0.0006   1.0000
  10.000   1.9387   0.03652   0.02951  -0.2238   0.0004   1.0000
  10.500   1.9563   0.03920   0.03238  -0.2180   0.0005   1.0000
  11.000   1.9663   0.04268   0.03609  -0.2115   0.0006   1.0000
